name,phone,latitude,longitude
Icestone Gelato,,54.9778402,-1.6451682
John Lewis,,51.5189229,-0.1435916
Juici Sushi,,53.7951122,-1.5468303
Kaspa's Desserts,,51.4812792,-0.0087043
KFC,,51.6174078,-0.0184629
KFC,,53.5464062,-2.6493342
KFC,,53.6554497,-3.0093157
KFC,,52.0875199,1.1213314
Kings Arms Public House,,53.7952436,-1.6620474
Lantana,+44 20 7403 2633,51.5167375,-0.0858569
Le Pain Quotidien,+44 20 3657 6932,51.515026,-0.1666738
Lola Jeans,+44 191 257 7601,55.0348229,-1.4198578
Lotus Restaurant,,53.4981113,-1.1816718
Low Fuel Prices Always @ Shawbirch Service Station,,52.7195579,-2.5146934
Ludo Lounge,,,
Lungi Babas,,51.2435301,-2.29341
Mandarin Chinese Restaurant & Bar,,52.866445,-1.616988
Marine Hotel,,54.6607592,-1.1875876
McDonald's,+44 1482 300452,53.7287063,-0.3714307
McDonalds,,51.5128602,-0.1873756
McDonalds,,53.7943266,-1.7545459
Millies Cookies,,51.4953295,-0.1435928
Millies Cookies,+44 1223 366105,52.2069491,0.1334855
Mister M,24 7650 2026,52.3905181,-1.5049304
Moose Coffee Shop,+44 161 228 7994,53.4809378,-2.2400811
Mr Pretzel,,,
Mr Pretzels,,53.4138649,-1.411903
Nando's,,,
O'Neils,,51.4091163,-0.305408
Oriental Express,,53.452956,-2.2077407
Papa John's,+44 20 8447 1722,51.6526583,-0.1980471
Patisserie Mark Bennett,,,
Phoenix,,53.3352387,-1.39886
Piccolinos,,52.2828812,-1.5833746
PiPs Coffee,,50.7145942,-2.4584027
Piri-fino,,52.5713264,-2.1205296
Pizza Hut,,51.8187384,-0.8136197
Pizza Hut,,51.5449188,-0.4734811
Pizza Hut,+44 20 7723 8883,51.5400861,-0.1586017
Pizza on Demand,,51.566464,-0.0023321
Pizza Top & Kebab,,51.5325625,0.7248098
PizzaExpress/Mac & Wings,,51.5075962,-0.2209918
Poundbakery,,53.194006,-2.8897117
Prezzo,1536 485415,52.397146,-0.7273113
Prezzo,,52.6049463,-1.8178512
Railway Inn,,53.4035523,-3.1590098
Rasputin,,52.6475722,0.6875998
Roberto`s Pizza House,,53.0292572,-2.1766033
Rominos Pizza Kebab & Fish,,52.6694864,1.2551452
San Marco,,51.5942943,-0.0701279
Scholars Arms,,50.9086337,-1.404451
Shishlique,,,
Starbucks,,51.493242,-0.223931
Starbucks Outlet,,51.509805,0.070157
Subway,,51.7474054,-0.4559497
Subway,,,
Subway,+44 20 8661 9231,51.3659037,-0.1937567
Subway,+44 1223 981375,52.2060679,0.1334407
Subway,+44 121 454 3615,52.4740565,-1.9222504
Subway,,53.5908904,-1.49533
Subway,,53.5812027,-2.4244091
Subway,,51.8205907,-0.8102558
Subway,,51.5915999,-0.1042964
Subway,,51.6151373,-0.6424796
Subway,,53.2616581,-0.9167454
Subway,+44 1253 394509,53.8445131,-3.0150192
Subway,+44 1902 672926,52.5424414,-2.1208842
Subway At Spar,+44 1733 234156,52.5485211,-0.2771936
Taco Bell,,52.6358209,-1.1324575
Tasty Pizza House,,51.5154806,-0.2542379
The Barn Owl,,51.82088,-2.268657
The Beagle,+44 114 453 8758,53.4332624,-1.484372
The Bell,,51.463588,-2.587308
The Black Boy Inn,,52.3735191,-2.322844
The Food Pantry,,51.5660743,0.0721037
The Raj Restaurant,,52.404484,-0.722186
The Wheatlands Farm,,54.5950722,-1.0502759
Tim Hortons,,53.4654485,-2.2093173
Toby Carvery,,54.8957647,-2.8971055
Tomi's Kitchen,+44 20 8694 9352,51.4924109,-0.0085019
Tops Pizza,,,
Tops Pizza Delivery,,51.4771647,-0.1458863
Wagamama,,51.2723313,0.1929605
Wagamama,+44 20 8446 9084,51.620799,-0.1658896
Wagamamas,,51.0790876,-1.3058202
Welcome Break - Starbucks Drive-Thru,+44 116 238 6801,52.62775,-1.1985121
Wenzels,,51.6835888,-0.3168435
Y H A,,54.3043967,-2.1858457
Yakinori Noodle And Bento,,52.4782855,-1.8991708
Yuzu,,53.9578737,-1.0732135
Zizzi,,51.8277089,-0.7975471
