name,phone,latitude,longitude
Giggling Squid,+44 116 251 9999,52.6347052,-1.1350254
Moose Coffee Shop,+44 161 228 7994,53.4804878,-2.2408111
Subway At Spar,+44 1733 234156,52.5477711,-0.2774136
"Costa Coffee At Moto Services Reading, Westbound",,51.4236035,-1.0370298
Subway,+44 1223 981375,52.2059579,0.1331007
Millies Cookies,+44 1223 366105,52.2065891,0.1328455
Subway,+44 121 454 3615,52.4734565,-1.9224004
The Beagle,+44 114 453 8758,53.4326724,-1.484392
Papa John's,+44 20 8447 1722,51.6522983,-0.1980971
Caravelli Restaurant Ltd,+44 1509 211228,52.773998,-1.20297
Greyfriars,+44 1206 575913,51.890112,0.9063685
Costa Coffee,+44 1923 777712,51.6391034,-0.4716799
Kaspa's Desserts,+44 20 3302 3636,51.4810992,-0.0095643
Franco Manca at The Oracle,+44 118 995 2086,51.4536625,-0.9699039
PizzaExpress/Mac & Wings,+44 20 8749 1500,51.5075662,-0.2216318
Coopland & Son (Scarborough) Ltd,+44 1526 345190,53.1058504,-0.1741327
Tops Pizza Delivery,+44 20 7738 8055,51.4769547,-0.1465063
Subway,,53.5908104,-1.49609
Bronkos Restaurant,+44 116 222 7777,52.6289012,-1.148877
Mandarin Chinese Restaurant & Bar,+44 1283 732305,52.866155,-1.617178
Starbucks,,51.492242,-0.224571
Pizza Hut,+44 1895 270077,51.5441088,-0.4742511
AMT Coffee,+44 20 3772 4000,51.4184949,-0.1359099
Costa Coffee,+44 161 652 0587,51.1433539,0.8748532
Black Sheep Coffee,,51.5146067,-0.0864354
Costa Ltd,+44 1604 413419,52.2422814,-0.8400089
Byron,+44 23 8063 3011,50.902261,-1.406899
Burger king,,51.4732418,-0.0706132
Railway Inn,+44 151 632 3320,53.4013023,-3.1591098
A M F Bowling,,52.2900948,-0.6865055
Costa Coffee,+44 1709 373288,53.3898999,-1.3778286
Domino's Pizza,+44 20 8905 7577,51.6110168,-0.27942
The Cosy Club,+44 1823 253476,51.0144117,-3.1050073
Icestone Gelato,+44 191 273 6718,54.9748902,-1.6497682
KFC,+44 1942 217386,53.5432062,-2.6537342
Caffe Cream,+44 151 652 3337,53.3952699,-3.0388356
Greggs Of Gosforth,+44 191 253 4456,55.0423078,-1.4457017
El Mexicana,+44 1494 678810,51.5877355,-0.6280402
KFC,+44 1704 539566,53.6538497,-3.0130157
The Raj Restaurant,+44 1536 513606,52.404034,-0.726536
Poundbakery,+44 1244 311613,53.189956,-2.8913617
Subway,+44 1204 361194,53.5765527,-2.4292591
Oriental Express,+44 161 248 8181,53.450056,-2.2078407
Euphorium,+44 20 3637 8646,51.5365969,-0.1036622
Harriets Cafe Tearooms Ltd,+44 1223 356443,52.2066341,0.1188569
Pizza on Demand,+44 20 8558 4885,51.563814,-0.0059821
Subway,+44 1296 431333,51.8170907,-0.8129058
Greggs,+44 1304 213423,51.125304,1.3154207
The Bell,+44 117 909 6612,51.462438,-2.591158
Greggs Bakers,+44 20 8314 0277,51.4463487,-0.0197385
900 Degrees,+44 161 330 9999,53.4888339,-2.1120762
Costa Coffee,+44 1288 356554,50.8302727,-4.5449381
Juici Sushi,+44 113 245 2345,53.7915122,-1.5476303
KFC,+44 1473 748474,52.0843199,1.1163314
Roberto`s Pizza House,+44 1782 287410,53.0245072,-2.1780533
Black Sail Youth Hostel,+44 345 371 9680,54.5003379,-3.2448097
COCO DI MAMA,+44 20 7430 1184,51.5177839,-0.1210145
Yuzu,+44 1904 894009,53.9576237,-1.0761635
Frankie & Benny's,+44 20 7821 7977,51.4947024,-0.1453595
Costa Coffee,,51.9411853,1.258131
Favorite Chicken And Ribs And Pizza Mania,+44 1376 503388,51.8006608,0.6408891
Egg Free Cake Box,+44 1422 352999,53.715267,-1.8814946
Connoisseur Tandoori Restaurant,,51.8674335,-2.238502
Piri-fino,+44 1902 332335,52.5686264,-2.1235796
John Lewis,+44 20 7629 7711,51.5154229,-0.1452416
Greggs,+44 1482 323211,53.7449071,-0.3416956
Zizzi,+44 1296 331857,51.8155089,-0.8105471
And Eat It,+44 7933 295605,52.6284682,1.2925677
Eden,+44 23 9288 2244,50.7953338,-1.1067414
Wagamamas,+44 1962 896234,51.0644876,-1.3156202
Y H A,+44 345 371 9120,54.3035967,-2.2038457
Costa Coffee,,53.7095422,-1.6768143
Low Fuel Prices Always @ Shawbirch Service Station,+44 1952 257601,52.7177579,-2.5248934
Curry Leaf Cafe,+44 1273 526911,50.81958,-0.1281915
Kings Arms Public House,,53.7916436,-1.6720474
Subway,+44 20 8001 8823,51.5909999,-0.1042964
Lungi Babas,+44 7468 421129,51.2271301,-2.31081
Subway,+44 1494 678453,51.6103373,-0.6446796
Subway,+44 1777 838092,53.2548581,-0.9249454
Prezzo,+44 121 323 4334,52.5869463,-1.8290512
Tim Hortons,,53.4588485,-2.2271173
Ego @ The Pomeroy,+44 1494 763648,51.6703326,-0.5833609
Starbucks Outlet,,51.507405,0.064757
Lola Jeans,+44 191 257 7601,55.0172229,-1.4238578
Frankie & Benny's,+44 1782 645180,52.963628,-2.196451
Wagamama,+44 20 8446 9084,51.603799,-0.1734896
Lantana,+44 20 7403 2633,51.5049375,-0.0942569
Haveli,,54.9884277,-1.6061748
Welcome Break - Starbucks Drive-Thru,+44 116 238 6801,52.61895,-1.2079121
Drip,+44 161 302 4006,53.5941389,-2.2910893
Costa Coffee,+44 1245 468817,51.7598827,0.4998367
Domino's Pizza,+44 1323 500222,50.8069222,0.2528247
Subway,+44 1253 394509,53.8287131,-3.0302192
Greggs,+44 161 877 0756,53.4660313,-2.3101724
Bunga Bunga,+44 20 7095 0360,51.478904,-0.170207
Tomi's Kitchen,+44 20 8694 9352,51.4786109,-0.0259019
Greggs Drive Thru,,55.0399504,-1.5954591
Costa Coffee,+44 1206 574481,51.8848241,0.8345488
Subway,+44 1902 672926,52.5418414,-2.1222842
Bold Arms,+44 1704 228192,53.6596592,-2.9629978
Pizza Hut,+44 20 7723 8883,51.5234861,-0.1748017
Tasty Pizza House,,51.5068806,-0.2676379
Clock Tower,,53.2635298,-2.4999969
Cooplands,,54.6200252,-1.5722558
HFC,,53.8090499,-1.7685722
Portello Lounge,,52.9320227,-1.126627
Duru Kebab House,,51.3731117,0.554039
Angus Burgers Limited,,51.5620248,-0.2823242
Mcdonalds Drive Thru,,51.1549202,1.2890922
Mooboo,,52.6367608,-1.1318434
Caffe Nero,,53.4589903,-2.2271813
Costa,,53.7418918,-2.4819709
Pizza Hut,,53.7990473,-3.0497483
King George IV,,54.3866667,-3.3125
The Imperial Tavern,,52.1939926,-2.2196658
KFC,,51.893683,-2.1289348
Wagamama,,51.2747447,0.5218227
Las Iguanas - NEC Birmingham,,52.44841,-1.7169934
Costa Cafe Bar @ Hadley Learning Community,,52.7016514,-2.4847569
"Castle Pizza, Kebab, Burger House",,51.3202067,-2.2083987
Queens Head,,52.690262,-1.27741
Subway Ltd,,53.5454608,-0.0131465
KFC,,54.6554793,-2.7443703
The Hare and Hounds,,51.1833884,-0.8232639
Subway,,52.450944,-1.725345
Wenzels the Bakers Ltd,,51.5784555,-0.3991181
Chilango,,51.5189323,-0.0772947
Caffe Pasta,,50.2152556,-5.4784333
